Label,Speech
No Ad Hominem,"We kiezen hoop boven angst. We gaan ervoor kiezen om vooruit te gaan omdat we enorme kansen hebben, enorme mogelijkheden om dingen beter te maken. We kunnen deze economie laten groeien."
No Ad Hominem,We hebben nu vijf landen die atoombommen hebben waar we vanaf weten. Als we doorgaan met het beleid van Mr. Ford zullen we in 1985 of '90 twintig landen hebben die de mogelijkheid hebben om atoomwapens te laten ontploffen. Dit moet gestopt worden. Dat is een van de grootste uitdagingen en grote ondernemingen die ik als volgende president op me zal nemen.
No Ad Hominem,"De bisschop van diezelfde kerk zei dat het een schande was. De generaal die bij hem was zei: ""Het enige wat hij wil is mensen verdelen, geen mensen verenigen."" Dit is een president die alles heeft gebruikt als een hondenfluitje, om te proberen racistische haat en racistische verdeeldheid te zaaien. Dit is een man die, als je het hebt over het helpen van Afro-Amerikanen, één op de 1000 Afro-Amerikanen heeft gedood door het coronavirus."
No Ad Hominem,"Het is een zwarte kerk net buiten Washington DC. En ik lees in het bulletin over tienerzwangerschappen, over de problemen die gezinnen hebben om de eindjes aan elkaar te knopen. Ik praat met ouders. Ik bedoel, je moet er om geven. Iedereen geeft erom als het niet goed gaat met mensen. Maar ik denk niet dat het eerlijk is om te zeggen dat je geen kanker hebt gehad."
No Ad Hominem,"Dat we inderdaad een energierijke natie zijn. Welnu, mijnheer Greenberg, ik kan het gewoon niet toestaan dat de verklaringen die zojuist zijn afgelegd door de heer Reagan, die, denk ik, opnieuw heeft laten zien dat hij de energiecrisis waarmee niet alleen dit land, maar de hele wereld wordt geconfronteerd, totaal verkeerd begrijpt, wanneer hij suggereert dat we een aardgasvoorraad van 27 jaar hebben, een olievoorraad van 47 jaar en al de rest, en dat we echt. alles wat we hoeven te doen is de regering uit de rug van de olie-industrie te krijgen, en dat zal genoeg zijn."
No Ad Hominem,"President Bush heeft onlangs een hoge ambassadeur, Bill Burns, gestuurd om deel te nemen aan gesprekken met de Europeanen over kernwapens. Nogmaals, misschien werkt het niet, maar als het niet werkt, dan hebben we ons vermogen versterkt om allianties te vormen om de zware sancties op te leggen die senator McCain net noemde. En als we dat niet hebben gedaan, zoals in Noord-Korea -- laat ik nog een voorbeeld geven -- in Noord-Korea hebben we de besprekingen afgebroken."
No Ad Hominem,"Ik heb 24 jaar van mijn leven gewijd aan openbare dienstverlening en ik heb dit al eerder gezegd en ik zeg het nog een keer: als jullie mij het presidentschap toevertrouwen, ben ik misschien niet de meest opwindende politicus, maar ik zal elke dag hard voor jullie werken. Ik zal vechten voor gezinnen uit de middenklasse en voor werkende mannen en vrouwen en ik zal jullie nooit teleurstellen. Daar moeten ze rekening mee houden als ze naar het stemhokje gaan."
No Ad Hominem,"Daar heb ik van alles aangepakt, van transnationale criminele organisaties tot de grote banken die misbruik maakten van huiseigenaren, tot profit-scholen die misbruik maakten van veteranen. En nu zit ik natuurlijk in de Senaat van de Verenigde Staten als slechts de tweede zwarte vrouw ooit gekozen in de Senaat van de Verenigde Staten. Ik zit in de Inlichtingencommissie van de Senaat waar ik regelmatig geheime informatie heb ontvangen over bedreigingen voor onze natie en hotspots over de hele wereld."
No Ad Hominem,"En om miljarden en miljarden dollars uit te geven aan Star Wars, zoals de heer Bush blijkbaar wil doen - hoewel hij zelf de laatste tijd veel over dit onderwerp te doen heeft gehad - heeft naar mijn mening geen enkele zin. We hebben een sterke, geloofwaardige, effectieve nucleaire afschrikking nodig. We hebben nu 13.000 strategische kernkoppen te land, ter zee en in de lucht, genoeg om de Sovjet-Unie veertig keer op te blazen."
No Ad Hominem,"Het komt uit een algemeen fonds, maar er moet iets aan gedaan worden. Ik vind het schandalig dat het WAO-fonds van de sociale zekerheid elke maand een cheque ontvangt van tienduizenden mensen die in onze instellingen zijn opgesloten vanwege criminaliteit of geestesziekte, en dat zij elke maand een uitkering van de sociale zekerheid ontvangen terwijl een staatsinstelling in al hun behoeften en zorg voorziet. Ik denk dat dit debat over sociale zekerheid, Medicare, nationale ziektekostenverzekering de fundamentele historische verschillen tussen de Democratische Partij en de Republikeinse Partij typeert, net zo levendig als elk ander onderwerp vanavond."
No Ad Hominem,"Er was een zeer gevaarlijke periode in mijn eerste drie maanden, voordat we de dingen een beetje op een rijtje zetten. Ze lieten een puinhoop achter en Obama zou - denk ik - de eerste zijn om te zeggen dat het volgens hem het grootste probleem was dat ons land had."
No Ad Hominem,"Uiteraard hoop ik uw stem te verdienen, ik hoop in november gekozen te worden en ik kan u beloven dat ik met elke Amerikaan zal samenwerken. religie. Hij heeft zich nooit verontschuldigd voor de eminente federale rechter die in Indiana was geboren, maar Donald zei dat hij niet vertrouwd kon worden als rechter omdat zijn ouders, ik citeer, ""Mexicaans"" waren. Hij heeft zich nooit verontschuldigd voor de verslaggever die hij nadeed en bespotte op de nationale televisie terwijl onze kinderen toekeken. En hij heeft zich nooit verontschuldigd voor de racistische leugen dat president Obama niet in de Verenigde Staten van Amerika is geboren. Hij is de president een verontschuldiging schuldig, hij is ons land een verontschuldiging schuldig en hij moet verantwoordelijkheid nemen voor zijn daden en zijn woorden. Ik ben deze campagne begonnen omdat ik het zo zat was om te zien hoe ons land zulke domme dingen overkomen."
No Ad Hominem,"Dat is niet wat ik geloof. Ik geloof dat het vrije ondernemerschap de grootste motor van welvaart is die de wereld ooit gekend heeft. Ik geloof in zelfredzaamheid, individueel initiatief en het belonen van risiconemers."
No Ad Hominem,Daar zijn al onze middelen naartoe gegaan. Ondertussen loopt Bin Laden nog steeds vrij rond. Hij is niet gevangen genomen. Hij is niet gedood. Al Qaida herrijst.
No Ad Hominem,"En ik zorg voor nieuwe concurrentie om de prijs omlaag te krijgen. En als je het wetsvoorstel van de grote farmaceutische bedrijven goedkeurt, zal er niets gebeuren."
No Ad Hominem,"Er zit ook een vreemde dichotomie in dit hele standpunt over onze rechtbanken die oordelen dat abortus niet het nemen van een menselijk leven is. Enige tijd geleden sloeg een man in Californië een vrouw zo wreed in elkaar dat haar ongeboren kind dood geboren werd met een schedelbasisfractuur. De wetgevende macht van de staat Californië nam unaniem een wet aan die door de toenmalige - Democratische gouverneur - ondertekend werd en waarin staat dat elke man die een zwangere vrouw zo mishandelt dat hij de dood van haar ongeboren kind veroorzaakt, aangeklaagd zal worden voor moord. Is het nu niet vreemd dat diezelfde vrouw het leven van haar ongeboren kind had kunnen nemen en dat het abortus was en geen moord, maar als iemand anders het doet, is het moord?"
No Ad Hominem,"We hadden een deal gesloten, alles was geregeld, totdat ik besloot om me kandidaat te stellen voor het presidentschap. Ik word heel slecht behandeld door de belastingdienst, heel oneerlijk, maar we hadden een deal gesloten. Zodra we klaar zijn met de deal, wil ik het vrijgeven."
No Ad Hominem,"Dat mogen we niet laten gebeuren, Joe, dat mag je niet laten gebeuren. We moeten ons openstellen en de ziekte begrijpen, we moeten onze senioren beschermen, we moeten onze ouderen beschermen, we moeten vooral onze senioren met hartproblemen en diabetesproblemen beschermen en we zullen hen beschermen. We hebben verreweg de beste tests ter wereld."
No Ad Hominem,"Nou, ik roep echt op tot grote banen, want de rijken gaan geweldige banen creëren. Ze gaan hun bedrijven uitbreiden."
No Ad Hominem,"Toen de heer Nitze, een goede onderhandelaar, terugkeerde, werd hij berispt en zijn baas werd ontslagen. Dit is het soort leiderschap dat we in deze regering hebben gehad over de meest dodelijke kwestie van onze tijd. Nu hebben we een op hol geslagen wapenwedloop."
No Ad Hominem,"Ik heb een plan om de wetlands met 3 miljoen te vergroten. We hebben een agressief 'brown field' programma om binnenstedelijke vervuilde plekken op te knappen tot bruikbare stukken land. Ik heb het Amerikaanse Congres een Clear Skies Initiative voorgesteld om zwaveldioxide, stikstofoxide en kwik met 70 procent te verminderen."
No Ad Hominem,"Ten tweede, dat je een korting van $2.000 krijgt van de overheid als je een gezin hebt van $30.000 of minder -- het wordt lager naarmate je hoger zit -- die je kunt gebruiken om gezondheidszorg te kopen op de privémarkten. Het zal een enorme aanbetaling zijn voor een verdomd goed systeem. Als je toestaat - ook toestaat - staten overtuigt om - staten toestaat om de moeder toe te staan om een deel van het geld van de ziektekostenverzekering van de kinderen ermee te matchen, wordt de koopkracht gebundeld."
No Ad Hominem,"En we moeten ons leger sterk houden. We hebben het sterkste leger en als ik president ben, zal ik alles doen wat nodig is om ervoor te zorgen dat dat zo blijft. Maar onze echte kracht komt, denk ik, voort uit onze waarden."
No Ad Hominem,"Hier in Amerika kunnen we het oneens zijn, we kunnen heftig debatteren, zoals senator Harris en ik vanavond op dit podium hebben gedaan. Maar als het debat voorbij is, komen we samen als Amerikanen. En dat is wat mensen doen in grote steden en kleine steden in dit hele land, dus ik wil je aanmoedigen, Brecklynn, ik wil je vertellen dat we elke dag gaan werken aan een regering die net zo goed is als onze mensen, het Amerikaanse volk, elke dag weer."
No Ad Hominem,"Zoiets als een wachttijd van 24 uur, melding aan de ouders. Ik was onlangs in Los Angeles en ik sprak met een vrouw die me vertelde dat ze een abortus had laten doen toen ze 17 jaar oud was. Terugkijkend zei ze dat het een vergissing was. Ze zei -- ze zei dat ik op dat moment, toen ik door deze moeilijke tijd ging, wenste dat ik begeleiding had gehad om over het post-abortus trauma te praten en om over adoptie te praten in plaats van over abortus."
