file_id,speaker_name,speaker_party,speech_text,jaar,date,kamer,category,title,document_number,url,meta_url,vergadernummer,standardized_name,sentence_number,speech_id
h-tk-20152016-52-16,De voorzitter,,"De motie-Gesthuizen/Kerstens (
De Kamer,
gehoord de beraadslaging,
constaterende dat bij het Europees Octrooibureau in Rijswijk en München al geruime tijd sprake is van gerichte aanvallen op vakbondsleden en een zeer hoge werkdruk;
voorts constaterende dat het EOB als internationale organisatie niet onder het nationale arbeidsrecht valt;
overwegende dat zulke overtredingen van de standaarden van de International Labour Organization, zeker als zij op Nederlands grondgebied plaatsvinden, ontoelaatbaar zijn;
verzoekt de regering om aansluitend op het intussen afgesproken traject van de ""social audit"" te overleggen met andere lidstaten van het EOB over maatregelen om deze misstanden te voorkomen en hoe er tot regelgeving kan worden gekomen om het juridische hiaat bij deze arbeidsconflicten te dichten,
en gaat over tot de orde van de dag.",2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,1,h-tk-20152016-52-16_1
h-tk-20152016-52-16,De voorzitter,,"Naar mij blijkt, wordt de indiening ervan voldoende ondersteund.",2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,2,h-tk-20152016-52-16_2
h-tk-20152016-52-16,De voorzitter,,Zij krijgt nr.,2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,3,h-tk-20152016-52-16_3
h-tk-20152016-52-16,De voorzitter,,Ik stel vast dat wij hier nu over kunnen stemmen.,2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,4,h-tk-20152016-52-16_4
h-tk-20152016-52-16,De voorzitter,,"Ik constateer dat de aanwezige leden van de fracties van de SP, de PvdD, de PvdA, GroenLinks, D66, 50PLUS, de Groep Kuzu/Öztürk, Klein en de ChristenUnie voor deze gewijzigde motie hebben gestemd en de aanwezige leden van de overige fracties ertegen, zodat zij is aangenomen.",2015-2016,2016-02-09,tk,handelingen,16 Stemmingen moties Raad voor het concurrentievermogen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-52-16.xml,"nr. 52, item 16",de de voorzitter,1,h-tk-20152016-52-16_1
h-tk-20152016-68-6,De voorzitter,,Op de tafel van de Griffier ligt een lijst van ingekomen stukken.,2015-2016,2016-03-23,tk,handelingen,6 Mededelingen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.xml,"nr. 68, item 6",de de voorzitter,1,h-tk-20152016-68-6_1
h-tk-20152016-68-6,De voorzitter,,Op die lijst staan voorstellen voor de behandeling van deze stukken.,2015-2016,2016-03-23,tk,handelingen,6 Mededelingen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.xml,"nr. 68, item 6",de de voorzitter,2,h-tk-20152016-68-6_2
h-tk-20152016-68-6,De voorzitter,,"Als voor het einde van de vergadering daartegen geen bezwaar is gemaakt, neem ik aan dat daarmee wordt ingestemd.",2015-2016,2016-03-23,tk,handelingen,6 Mededelingen,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-68-6.xml,"nr. 68, item 6",de de voorzitter,3,h-tk-20152016-68-6_3
h-tk-20152016-75-13-n1,De voorzitter,,"In stemming komt de motie-Lucas (31524, nr. 283).",2015-2016,2016-04-12,tk,handelingen,13 Stemming motie Ontwerpbesluit experiment cross-overkwalificaties,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.xml,"nr. 75, item 13",de de voorzitter,1,h-tk-20152016-75-13-n1_1
h-tk-20152016-75-13-n1,De voorzitter,,"Ik constateer dat de aanwezige leden van de fracties van D66, 50PLUS, Van Vliet, Houwers, Klein, de VVD, de ChristenUnie, de Groep Bontes/Van Klaveren en de PVV voor deze motie hebben gestemd.",2015-2016,2016-04-12,tk,handelingen,13 Stemming motie Ontwerpbesluit experiment cross-overkwalificaties,,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.html,https://zoek.officielebekendmakingen.nl/h-tk-20152016-75-13-n1.xml,"nr. 75, item 13",de de voorzitter,2,h-tk-20152016-75-13-n1_2
