file_id,speaker_name,speaker_party,speech_text,jaar,date,kamer,category,title,document_number,url,meta_url,vergadernummer,speech_text_chunks,speech_text_translated,fallacy_predictions
h-tk-20222023-89-23,Mevrouw Teunissen,PvdD,"Het is niet alleen ontzettend verdrietig. De vraag is natuurlijk welke consequenties de VVD vervolgens verbindt aan de conclusie dat de premier nalatig is geweest. Dat staat los van de andere partijen, die ook steken hebben laten vallen. Bijvoorbeeld de ChristenUnie heeft daarvoor in een heel mooi betoog excuses aangeboden. Maar welke consequenties zitten er voor de VVD aan de nalatigheid die de premier heeft getoond? Als we daar namelijk geen consequenties aan verbinden, wat doet dat dan met het vertrouwen van de mensen hier op de tribune en in Groningen, maar ook met de democratie in het algemeen? Het kan toch niet zo zijn dat we als een bewindspersoon nalatig heeft gehandeld, zeggen: oké, we zien het allemaal, het is gebeurd en we gaan nu vrolijk verder?",2022-2023,2023-06-06,tk,handelingen,23 Rapport parlementaire enquêtecommissie aardgaswinning Groningen,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-89-23.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-89-23.xml,"nr. 89, item 23","['Het is niet alleen ontzettend verdrietig. De vraag is natuurlijk welke consequenties de VVD vervolgens verbindt aan de conclusie dat de premier nalatig is geweest. Dat staat los van de andere partijen, die ook steken hebben laten vallen. Bijvoorbeeld de ChristenUnie heeft daarvoor in een heel mooi betoog excuses aangeboden. Maar welke consequenties zitten er voor de VVD aan de nalatigheid die de premier heeft getoond? Als we daar namelijk geen consequenties aan verbinden, wat doet dat dan met het vertrouwen van de mensen hier op de tribune en in Groningen, maar ook met de democratie in het algemeen? Het kan toch niet zo zijn dat we als een bewindspersoon nalatig heeft gehandeld, zeggen : oké, we zien het allemaal, het is gebeurd en we gaan nu vrolijk verder?']","It is not only incredibly sad. The question is of course what consequences the VVD then links to the conclusion that the prime minister was negligent. That is independent of the other parties, who have also dropped stitches. For example, the ChristenUnie has apologized for this in a very nice argument. But what consequences are there for the VVD in the negligence that the prime minister has shown? If we do not link consequences to this, what does that do with the trust of the people here in the stands and in Groningen, but also with democracy in general? Surely it cannot be that we have acted negligently as a minister, say: okay, we see it all, it happened and we are now happily continue?","The question is of course what consequences the VVD then links to the conclusion that the prime minister was negligent. → VVD → Slogans | For example, the ChristenUnie has apologized for this in a very nice argument. → ChristenUnie → Slogans | But what consequences are there for the VVD in the negligence that the prime minister has shown? → VVD → Slogans | If we do not link consequences to this, what does that do with the trust of the people here in the stands and in Groningen, but also with democracy in general? → Groningen → Unknown"
h-tk-20222023-3-4,Minister Rutte,,"Ja precies, de staatsschuld. Hij heeft een punt gemaakt van de coronaschulden. Daar heeft hij helemaal gelijk in. We hebben daar natuurlijk veel gedaan. Als je nu gaat kijken naar Europa en als je de internationale artikelen daarover leest, dan zie je dat dat pakket heeft geleid tot de meest gerichte steun. Ik mag dat zeggen, want ik heb daar inhoudelijk zelf echt helemaal niets aan bijgedragen. Dat is in het vorige kabinet echt helemaal ontwikkeld door de ministers Koolmees, Hoekstra en Wiebes. Ik wil ook de staatssecretarissen die daaraan hebben meegeholpen nog wel benoemen, en zeker ook de fantastische ambtelijke ondersteuning. Inderdaad, dat pakket ging ten koste van de staatsschuld. Waarom? Om banen te redden. Ik ben het met hem eens dat we hier ook niet kneiterig moeten zijn, maar we hebben onder ogen te zien dat er voor de houdbaarheid van de overheidsfinanciën op de lange termijn uiteindelijk grenzen zijn, juist voor zorg, onderwijs, sociale zekerheid, veiligheid en alle andere dingen die we doen. Dat moet je met elkaar in balans zien te houden. Dat probeert het kabinet.",2022-2023,2022-09-22,tk,handelingen,4 Algemene Politieke Beschouwingen,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-3-4.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-3-4.xml,"nr. 3, item 4","['Ja precies, de staatsschuld. Hij heeft een punt gemaakt van de coronaschulden. Daar heeft hij helemaal gelijk in. We hebben daar natuurlijk veel gedaan. Als je nu gaat kijken naar Europa en als je de internationale artikelen daarover leest, dan zie je dat dat pakket heeft geleid tot de meest gerichte steun. Ik mag dat zeggen, want ik heb daar inhoudelijk zelf echt helemaal niets aan bijgedragen. Dat is in het vorige kabinet echt helemaal ontwikkeld door de ministers Koolmees, Hoekstra en Wiebes. Ik wil ook de staatssecretarissen die daaraan hebben meegeholpen nog wel benoemen, en zeker ook de fantastische ambtelijke ondersteuning. Inderdaad, dat pakket ging ten koste van de staatsschuld. Waarom? Om banen te redden. Ik ben het met hem eens dat we hier ook niet kneiterig moeten zijn, maar we hebben onder ogen te zien dat er voor de houdbaarheid van de overheidsfinanciën op de lange termijn uiteindelijk grenzen zijn, juist voor zorg, onderwijs, sociale zekerheid, veiligheid en alle andere dingen die we doen. Dat moet je met elkaar in balans zien te houden. Dat probeert het kabinet.']","Yes exactly, the national debt. He has made a point of the corona chibules. He is absolutely right about that. We have of course done a lot there. If you are now going to look at Europe and if you read the international articles about it, you will see that that package has led to the most targeted support. I can say that, because I really did not contribute to that in terms of content. In the previous cabinet, that is really completely developed by the Ministers Koolmees, Hoekstra and Wiebes. I also want to name the State Secretaries who have helped with that, and certainly also the fantastic official support. Indeed, that package was at the expense of the national debt. Why? To save jobs. I agree with him that we should not be greasy here either, but we have to see that there are ultimately limits for the sustainability of public finances in the long term, precisely for care, education, social security, safety and all the other things we do. You have to keep that in balance together. The cabinet tries that.","If you are now going to look at Europe and if you read the international articles about it, you will see that that package has led to the most targeted support. → Europe → Unknown | In the previous cabinet, that is really completely developed by the Ministers Koolmees, Hoekstra and Wiebes. → Koolmees → False Cause, Hoekstra → False Cause, Wiebes → False Cause"
h-tk-20222023-83-26,De heer Van der Lee,GroenLinks,"U schrijft in de brief ook dat beide rechtbanken het eens waren op het punt dat je met realistische termijnen in wetgeving moet werken. Als er nu een uitspraak komt en u krijgt uw zin en het wordt een langere termijn, blijft dan in het hele proces die langere termijn bestaan? Of is er dan misschien toch nog een kortere termijn, als het lukt met versnellen en volgend jaar de termijnen omlaag? Kan de staatssecretaris ons daar meer over vertellen?",2022-2023,2023-05-23,tk,handelingen,26 Opvolging van het rapport Ongekend onrecht,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-83-26.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-83-26.xml,"nr. 83, item 26","['U schrijft in de brief ook dat beide rechtbanken het eens waren op het punt dat je met realistische termijnen in wetgeving moet werken. Als er nu een uitspraak komt en u krijgt uw zin en het wordt een langere termijn, blijft dan in het hele proces die langere termijn bestaan? Of is er dan misschien toch nog een kortere termijn, als het lukt met versnellen en volgend jaar de termijnen omlaag? Kan de staatssecretaris ons daar meer over vertellen?']","You also write in the letter that both courts agreed that you have to work in legislation with realistic deadlines. If there is a statement now and you get your sentence and it will be a longer term, will that remain in the entire process for a longer term? Or is there perhaps a shorter term, if it succeeds with accelerating and the deadlines next year? Can the State Secretary tell us more about that?",No fallacy detected
h-tk-20222023-15-11-n1,Staatssecretaris Van Ooijen,,"Zoals ik in de schriftelijke beantwoording heb aangegeven, heeft het ook te maken met de maatschappelijke bereidheid die er is om geld uit te geven aan preventie. Er is nu eenmaal een hogere maatschappelijke bereidheid om geld te investeren in een curatieve aanpak, zoals operaties, dan aan een preventiemaatregel. Daar heb ik begrip voor. Tegelijkertijd hebben wij hier nog wel een weg te gaan. Dat ben ik met mevrouw Paulusma eens. Daarom heb ik het Kennisplatform Preventie al eerder gevraagd om ons op dit punt te adviseren. Ik wil het ook nu weer vragen om te kijken of men een actualisatie kan maken, zodat wij meer duidelijkheid kunnen geven over het verschil tussen preventie en operatie.",2022-2023,2022-10-20,tk,handelingen,"11 Begroting Volksgezondheid, Welzijn en Sport 2023",,https://zoek.officielebekendmakingen.nl/h-tk-20222023-15-11-n1.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-15-11-n1.xml,"nr. 15, item 11","['Zoals ik in de schriftelijke beantwoording heb aangegeven, heeft het ook te maken met de maatschappelijke bereidheid die er is om geld uit te geven aan preventie. Er is nu eenmaal een hogere maatschappelijke bereidheid om geld te investeren in een curatieve aanpak, zoals operaties, dan aan een preventiemaatregel. Daar heb ik begrip voor. Tegelijkertijd hebben wij hier nog wel een weg te gaan. Dat ben ik met mevrouw Paulusma eens. Daarom heb ik het Kennisplatform Preventie al eerder gevraagd om ons op dit punt te adviseren. Ik wil het ook nu weer vragen om te kijken of men een actualisatie kan maken, zodat wij meer duidelijkheid kunnen geven over het verschil tussen preventie en operatie.']","As I have indicated in the written answer, it also has to do with the social willingness that is there to spend money on prevention. There is simply a higher social willingness to invest money in a curative approach, such as operations, than in a prevention measure. I understand that. At the same time we still have a way to go here. I agree with Mrs. Paulusma. That is why I have already asked the Prevention Knowledge Platform to advise us on this point. I also want to ask again to see if people can make an update, so that we can give more clarity about the difference between prevention and operation.","I agree with Mrs. Paulusma. → Paulusma → False Cause | That is why I have already asked the Prevention Knowledge Platform to advise us on this point. → Prevention → Slogans, Knowledge → Slogans, Platform → Slogans"
h-tk-20222023-65-7,Mevrouw Teunissen,PvdD,Dat is de motie-Teunissen over de vlaktaks.,2022-2023,2023-03-23,tk,handelingen,7 Klimaat en Energie,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-65-7.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-65-7.xml,"nr. 65, item 7",['Dat is de motie - Teunissen over de vlaktaks.'],That is the motion - Teunissen about the flat tax.,That is the motion - Teunissen about the flat tax. → Teunissen → False Cause
h-tk-20222023-41-5,Minister Helder,,De motie op stuk nr. 501: oordeel Kamer.,2022-2023,2023-01-18,tk,handelingen,5 Toename agressie en geweld tegen ziekenhuispersoneel,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-41-5.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-41-5.xml,"nr. 41, item 5",['De motie op stuk nr. 501 : oordeel Kamer.'],The motion on item no. 501: judgment of the Chamber.,501: judgment of the Chamber. → Chamber → Slogans
h-tk-20222023-30-17,De voorzitter,,Dat lijkt mij een mooie afsluiting van het blokje luchtvaart.,2022-2023,2022-12-01,tk,handelingen,17 Begroting Infrastructuur en Waterstaat 2023,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-30-17.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-30-17.xml,"nr. 30, item 17",['Dat lijkt mij een mooie afsluiting van het blokje luchtvaart.'],That seems like a nice end to the block of aviation.,No fallacy detected
h-tk-20222023-102-7,De voorzitter,,Prima. De motie op stuk nr. 343.,2022-2023,2023-07-05,tk,handelingen,7 Voedselzekerheid en water,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-102-7.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-102-7.xml,"nr. 102, item 7",['Prima. De motie op stuk nr. 343.'],Great. The motion on item no. 343.,No fallacy detected
h-tk-20222023-12-3,Mevrouw Leijten,SP,"Voorzitter, dit kunt u weer gaan turven, want dit is een antwoord op een vraag die ik niet stelde.",2022-2023,2022-10-13,tk,handelingen,3 Begroting Binnenlandse Zaken 2023,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-12-3.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-12-3.xml,"nr. 12, item 3","['Voorzitter, dit kunt u weer gaan turven, want dit is een antwoord op een vraag die ik niet stelde.']","Chairman, you can start this again, because this is an answer to a question that I did not ask.",No fallacy detected
h-tk-20222023-9-11,Mevrouw Inge van Dijk,CDA,"Ik vind het niet zo heel belangrijk wie terugkoppelt. Als de toezegging is dat er een terugkoppeling komt, ben ik tevreden.",2022-2023,2022-10-06,tk,handelingen,11 Algemene Financiële Beschouwingen,,https://zoek.officielebekendmakingen.nl/h-tk-20222023-9-11.html,https://zoek.officielebekendmakingen.nl/h-tk-20222023-9-11.xml,"nr. 9, item 11","['Ik vind het niet zo heel belangrijk wie terugkoppelt. Als de toezegging is dat er een terugkoppeling komt, ben ik tevreden.']","I don't think it's very important who leases it. If the commitment is that there will be feedback, I am satisfied.",No fallacy detected
